"","s1","s2"
"776",-1027,2394
"777",-1099,2750
"778",-1039,2446
"779",-1041,2618
"780",-1067,2738
"781",-1111,2810
"782",-1163,2814
"783",-1079,2802
"784",-1099,2694
"785",-1033,2670
"786",-1127,2738
"787",-1013,2490
"788",-1111,2810
"789",-1117,2778
"790",-1027,2746
"791",-1045,2482
"792",-1003,2462
"793",-995,2278
"794",-1119,2698
"795",-1019,2498
"796",-977,2482
"797",-1083,2618
"798",-1113,2922
"799",-967,2318
"800",-1033,2690
"801",-1093,2590
"802",-1117,2814
"803",-1029,2702
"804",-1063,2678
"805",-1073,2610
"806",-997,2162
"807",-1129,2646
"808",-1117,2998
"809",-1045,2546
"810",-971,2450
"811",-969,2346
"812",-991,2282
"813",-1009,2430
"814",-1123,2794
"815",-1073,2598
"816",-1013,2566
"817",-1061,2550
"818",-1095,2814
"819",-1031,2586
"820",-981,2282
"821",-1097,2526
"822",-1047,2574
"823",-997,2406
"824",-1011,2646
"825",-1037,2558
"826",-1037,2642
"827",-1097,2838
"828",-999,2354
"829",-1131,2934
"830",-1091,2846
"831",-1029,2314
"832",-1015,2326
"833",-1037,2718
"834",-1083,2606
"835",-1145,2806
"836",-1029,2422
"837",-1051,2666
"838",-1113,2906
"839",-1051,2382
"840",-1069,2630
"841",-1101,2666
"842",-1085,2834
"843",-1035,2366
"844",-999,2338
"845",-1123,2882
"846",-1117,2854
"847",-977,2390
"848",-1047,2730
"849",-965,2302
"850",-1095,2962
"851",-1081,2670
"852",-1019,2434
"853",-1057,2490
"854",-1033,2442
"855",-979,2242
"856",-1141,2762
"857",-971,2482
"858",-1047,2414
"859",-1071,2486
"860",-983,2486
"861",-951,2414
"862",-945,2154
"863",-1011,2326
"864",-1047,2510
"865",-1093,2662
"866",-1097,2666
"867",-1143,2634
"868",-1055,2338
"869",-1039,2662
"870",-1027,2402
"871",-1085,2630
"872",-1057,2582
"873",-1161,2930
"874",-1101,2762
"875",-977,2510
"876",-957,2182
"877",-989,2474
"878",-1017,2462
"879",-1083,2534
"880",-1091,2874
"881",-967,2322
"882",-1033,2610
"883",-1021,2506
"884",-1091,2722
"885",-1101,2634
"886",-1021,2502
"887",-1081,2342
"888",-1015,2542
"889",-1103,2766
"890",-1017,2354
"891",-1027,2394
"892",-1003,2526
"893",-1009,2470
"894",-1091,2670
"895",-1069,2550
"896",-1057,2538
"897",-1099,2638
"898",-1121,2690
"899",-1067,2666
"900",-1109,2938
"901",-1101,2782
"902",-1137,2686
"903",-1003,2378
"904",-1113,2686
"905",-1053,2446
"906",-1129,2814
"907",-1027,2350
"908",-1041,2594
"909",-1045,2646
"910",-1019,2566
"911",-1037,2634
"912",-1037,2342
"913",-1013,2530
"914",-1073,2690
"915",-1001,2314
"916",-1073,2786
"917",-1017,2606
"918",-1105,2842
"919",-1081,2690
"920",-1047,2350
"921",-1029,2574
"922",-1043,2458
"923",-1035,2478
"924",-997,2414
"925",-1097,2566
"926",-1081,2666
"927",-1005,2494
"928",-1135,2934
"929",-983,2450
"930",-1117,2966
"931",-1111,2710
"932",-1173,3030
"933",-1067,2502
"934",-1077,2682
"935",-1073,2518
"936",-1045,2482
"937",-1117,2902
"938",-1101,2518
"939",-1051,2734
"940",-1033,2410
"941",-1035,2694
"942",-1053,2626
"943",-989,2474
"944",-1141,2926
"945",-1055,2650
"946",-1123,2706
"947",-975,2414
"948",-1107,2646
"949",-1053,2530
"950",-1049,2706
"951",-1047,2578
"952",-1127,2858
"953",-1059,2606
"954",-1133,2678
"955",-1127,2854
"956",-1115,2926
"957",-1099,2774
"958",-1029,2482
"959",-1021,2610
"960",-1005,2306
"961",-1137,2870
"962",-1031,2586
"963",-1141,2910
"964",-1093,2786
"965",-1191,3038
"966",-1027,2594
"967",-1085,2634
"968",-1039,2482
"969",-1051,2686
"970",-1019,2246
"971",-1099,2698
"972",-1045,2610
"973",-1049,2630
"974",-1117,2854
"975",-1117,2910
"976",-1003,2422
"977",-1061,2658
"978",-1063,2650
"979",-1013,2554
"980",-1005,2506
"981",-933,2214
"982",-1063,2742
"983",-989,2342
"984",-1107,2626
"985",-1089,2506
"986",-991,2414
"987",-951,2430
"988",-1081,2746
"989",-1061,2438
"990",-1119,2718
"991",-1097,2662
"992",-1031,2358
"993",-1097,2798
"994",-1045,2846
"995",-1009,2490
"996",-1103,2726
"997",-989,2234
"998",-1095,2762
"999",-1065,2506
"1000",-1081,2554
