"","s1","s2"
"880",-1117,2898
"881",-1079,2542
"882",-1039,2326
"883",-1039,2454
"884",-1043,2574
"885",-1135,2682
"886",-1071,2362
"887",-1051,2434
"888",-1137,2682
"889",-1045,2410
"890",-1089,2494
"891",-1039,2514
"892",-1149,2954
"893",-1025,2466
"894",-1097,2650
"895",-997,2354
"896",-1003,2218
"897",-1045,2522
"898",-1019,2382
"899",-1121,2710
"900",-1011,2430
"901",-981,2006
"902",-1077,2642
"903",-1047,2338
"904",-941,2250
"905",-1175,3046
"906",-1127,2682
"907",-1065,2554
"908",-1071,2506
"909",-991,2310
"910",-1159,2546
"911",-1179,2906
"912",-1037,2438
"913",-1069,2482
"914",-1043,2350
"915",-933,1858
"916",-1123,2766
"917",-1023,2334
"918",-1075,2674
"919",-1097,2750
"920",-1033,2286
"921",-1081,2578
"922",-1103,2770
"923",-1029,2366
"924",-1029,2490
"925",-1079,2658
"926",-1097,2670
"927",-1049,2470
"928",-1095,2530
"929",-1003,2426
"930",-1087,2430
"931",-1013,2354
"932",-1031,2462
"933",-1091,2498
"934",-1105,2818
"935",-1101,2450
"936",-1089,2750
"937",-1067,2574
"938",-1105,2638
"939",-1009,2342
"940",-1027,2522
"941",-987,2354
"942",-991,2554
"943",-1121,2690
"944",-1083,2662
"945",-1045,2742
"946",-1093,2662
"947",-1177,2826
"948",-983,2262
"949",-1077,2650
"950",-953,2002
"951",-1065,2698
"952",-1109,2490
"953",-1037,2502
"954",-1005,2402
"955",-1059,2502
"956",-1035,2674
"957",-981,2314
"958",-979,2518
"959",-1051,2506
"960",-1017,2454
"961",-1013,2426
"962",-1049,2566
"963",-1143,2742
"964",-987,2154
"965",-1083,2838
"966",-1073,2578
"967",-1033,2438
"968",-1101,2770
"969",-1033,2450
"970",-1071,2810
"971",-957,2198
"972",-1095,2610
"973",-1053,2642
"974",-1217,3046
"975",-1161,2806
"976",-1111,2542
"977",-1069,2314
"978",-1107,2538
"979",-1021,2578
"980",-1031,2326
"981",-1099,2530
"982",-1057,2586
"983",-1075,2678
"984",-1113,2678
"985",-1049,2398
"986",-1033,2374
"987",-995,2282
"988",-1013,2266
"989",-1073,2698
"990",-1081,2506
"991",-1105,2758
"992",-1087,2562
"993",-1065,2574
"994",-1093,2506
"995",-1101,2362
"996",-1087,2654
"997",-961,2234
"998",-1109,2674
"999",-1089,2602
"1000",-1025,2446
