"","s1","s2"
"592",-1081,2678
"593",-1071,2506
"594",-1001,2642
"595",-1057,2518
"596",-1081,2770
"597",-1141,2974
"598",-1099,2754
"599",-977,2178
"600",-1055,2574
"601",-1101,2930
"602",-1129,2750
"603",-971,2490
"604",-1023,2406
"605",-1053,2518
"606",-1093,2534
"607",-1047,2698
"608",-1159,2926
"609",-1037,2530
"610",-1043,2726
"611",-1059,2422
"612",-1077,2586
"613",-1099,2414
"614",-1039,2458
"615",-1023,2362
"616",-1141,2866
"617",-953,2046
"618",-1029,2558
"619",-1083,2546
"620",-1139,2794
"621",-1031,2618
"622",-1053,2570
"623",-1039,2578
"624",-1065,2606
"625",-1003,2310
"626",-991,2402
"627",-1111,2494
"628",-1043,2490
"629",-1127,2774
"630",-1005,2558
"631",-1039,2638
"632",-1123,2686
"633",-1095,2618
"634",-1159,2990
"635",-1021,2530
"636",-1083,2706
"637",-1059,2462
"638",-1121,2750
"639",-1119,2602
"640",-1151,2922
"641",-999,2314
"642",-1041,2574
"643",-1079,2622
"644",-1049,2526
"645",-1061,2550
"646",-1059,2506
"647",-1067,2598
"648",-1199,3074
"649",-1085,2574
"650",-1083,2730
"651",-1145,2886
"652",-1019,2482
"653",-1059,2486
"654",-1013,2590
"655",-1021,2466
"656",-1045,2602
"657",-877,2166
"658",-1147,2778
"659",-1121,2886
"660",-1077,2630
"661",-1057,2686
"662",-999,2394
"663",-1043,2598
"664",-1101,2498
"665",-927,1998
"666",-1069,2450
"667",-1025,2602
"668",-1059,2442
"669",-1109,2798
"670",-1037,2362
"671",-1115,2710
"672",-1097,2802
"673",-985,2182
"674",-999,2338
"675",-1089,2606
"676",-1103,2602
"677",-1089,2726
"678",-1017,2498
"679",-1107,2854
"680",-1073,2374
"681",-1115,2678
"682",-1035,2662
"683",-1087,2834
"684",-1067,2614
"685",-1027,2730
"686",-983,2362
"687",-1067,2886
"688",-1087,2598
"689",-1093,2850
"690",-1031,2590
"691",-1175,2826
"692",-1055,2490
"693",-1051,2374
"694",-963,2266
"695",-1055,2614
"696",-1155,2802
"697",-1103,2806
"698",-979,2522
"699",-943,2478
"700",-977,2506
"701",-1117,2858
"702",-953,2530
"703",-1065,2666
"704",-1107,2638
"705",-1139,2762
"706",-1089,2674
"707",-979,2318
"708",-1157,2918
"709",-1051,2498
"710",-1121,2762
"711",-1133,2762
"712",-1123,2682
"713",-1059,2770
"714",-1023,2390
"715",-1059,2414
"716",-1141,2938
"717",-971,2558
"718",-987,2322
"719",-1095,2514
"720",-1071,2586
"721",-1075,2618
"722",-1003,2466
"723",-965,2378
"724",-1079,2686
"725",-1063,2554
"726",-1089,2706
"727",-1083,2538
"728",-1067,2442
"729",-1151,2914
"730",-1041,2502
"731",-1023,2598
"732",-965,2066
"733",-1121,2758
"734",-1083,2702
"735",-1033,2574
"736",-1135,2714
"737",-995,2858
"738",-1059,2778
"739",-1095,2762
"740",-1149,3030
"741",-1017,2462
"742",-1119,2646
"743",-985,2370
"744",-975,2462
"745",-1073,2602
"746",-963,2470
"747",-1043,2702
"748",-1075,2550
"749",-997,2574
"750",-1015,2458
"751",-1055,2666
"752",-999,2386
"753",-1067,2810
"754",-1119,2918
"755",-1097,2602
"756",-1135,2858
"757",-1055,2570
"758",-1073,2530
"759",-1155,2806
"760",-1127,2870
"761",-1059,2650
"762",-1055,2642
"763",-1019,2406
"764",-1031,2578
"765",-1179,2926
"766",-1059,2694
"767",-1087,2794
"768",-961,2434
"769",-1079,2614
"770",-1101,2698
"771",-1121,2898
"772",-1071,2494
"773",-1017,2390
"774",-953,2450
"775",-1157,2874
"776",-1047,2674
"777",-1035,2490
"778",-965,2358
"779",-1063,2714
"780",-1095,2674
"781",-1005,2626
"782",-1001,2374
"783",-1101,2750
"784",-1009,2482
"785",-1017,2490
"786",-961,2410
"787",-1071,2530
"788",-1141,2690
"789",-1099,2674
"790",-1149,2746
"791",-1113,2850
"792",-1039,2586
"793",-1041,2494
"794",-1113,2758
"795",-1115,2770
"796",-1073,2518
"797",-1111,2842
"798",-1053,2862
"799",-1005,2278
"800",-1127,2686
"801",-1035,2770
"802",-1015,2482
"803",-1037,2386
"804",-1075,2846
"805",-979,2398
"806",-1037,2606
"807",-1063,2626
"808",-1083,2698
"809",-1049,2678
"810",-1089,2602
"811",-975,2270
"812",-1101,2778
"813",-993,2406
"814",-1073,2594
"815",-1075,2670
"816",-1079,2498
"817",-1091,2566
"818",-979,2334
"819",-1103,2634
"820",-1087,2718
"821",-1065,2478
"822",-983,2394
"823",-1049,2610
"824",-1065,2662
"825",-1041,2638
"826",-953,2206
"827",-1055,2642
"828",-1049,2742
"829",-1101,2630
"830",-989,2350
"831",-1113,2746
"832",-1061,2558
"833",-1053,2278
"834",-1073,2790
"835",-943,2546
"836",-993,2642
"837",-1105,2742
"838",-1023,2370
"839",-1077,2458
"840",-1061,2562
"841",-1053,2538
"842",-1133,2990
"843",-1027,2426
"844",-1095,2718
"845",-1123,2894
"846",-1113,2886
"847",-1121,2678
"848",-1173,3038
"849",-991,2574
"850",-1101,2786
"851",-1107,2498
"852",-1001,2434
"853",-1003,2482
"854",-1179,3106
"855",-1129,2790
"856",-1099,2698
"857",-1085,2826
"858",-1009,2530
"859",-1055,2834
"860",-1111,2578
"861",-1039,2378
"862",-1065,2654
"863",-1079,2734
"864",-1053,2578
"865",-1151,2710
"866",-1057,2698
"867",-1065,2754
"868",-1021,2478
"869",-1015,2378
"870",-1027,2498
"871",-1121,2778
"872",-1187,2806
"873",-1025,2410
"874",-1095,2578
"875",-1011,2578
"876",-1089,2714
"877",-1065,2454
"878",-983,2446
"879",-961,2370
"880",-1049,2698
"881",-965,2498
"882",-1109,2726
"883",-1041,2550
"884",-1099,2882
"885",-1161,2862
"886",-1009,2642
"887",-1127,2678
"888",-993,2334
"889",-1131,2894
"890",-1065,2582
"891",-1095,2778
"892",-999,2490
"893",-1045,2582
"894",-1117,2854
"895",-1077,2930
"896",-1067,2618
"897",-1015,2422
"898",-1065,2646
"899",-1107,2910
"900",-971,2266
"901",-1047,2762
"902",-1047,2394
"903",-1085,2734
"904",-997,2386
"905",-1021,2518
"906",-1155,2754
"907",-1121,2866
"908",-1069,2586
"909",-1035,2466
"910",-1079,2526
"911",-1061,2582
"912",-1073,2646
"913",-1131,2834
"914",-1091,2630
"915",-1097,2754
"916",-1063,2602
"917",-1083,2674
"918",-973,2414
"919",-1095,2862
"920",-1111,2646
"921",-983,2270
"922",-1039,2590
"923",-1059,2750
"924",-993,2466
"925",-1073,2946
"926",-1027,2586
"927",-1067,2594
"928",-1059,2458
"929",-1061,2514
"930",-997,2286
"931",-1137,2838
"932",-1023,2482
"933",-1025,2414
"934",-1131,2858
"935",-1109,2786
"936",-1131,2582
"937",-1135,2838
"938",-1041,2594
"939",-981,2474
"940",-1003,2610
"941",-1089,2722
"942",-1103,2738
"943",-945,2258
"944",-1035,2350
"945",-1117,2886
"946",-1009,2370
"947",-1045,2682
"948",-1105,2750
"949",-1005,2466
"950",-1093,2566
"951",-1075,2570
"952",-925,2226
"953",-1159,3030
"954",-1111,2642
"955",-989,2238
"956",-1077,2666
"957",-1099,2742
"958",-1083,2754
"959",-1137,2886
"960",-1023,2662
"961",-1017,2538
"962",-1011,2430
"963",-1041,2566
"964",-1091,2650
"965",-1047,2538
"966",-1071,2566
"967",-1053,2630
"968",-1093,2694
"969",-1083,2638
"970",-999,2122
"971",-1093,2478
"972",-1053,2594
"973",-1007,2522
"974",-1069,2650
"975",-1067,2638
"976",-1051,2610
"977",-1075,2826
"978",-1101,2790
"979",-1017,2258
"980",-1063,2682
"981",-1101,2750
"982",-999,2366
"983",-1179,2998
"984",-1079,2778
"985",-1099,2610
"986",-1081,2774
"987",-1111,2718
"988",-1105,2738
"989",-1047,2590
"990",-975,2618
"991",-1097,2602
"992",-1047,2598
"993",-1091,2822
"994",-1069,2718
"995",-1111,2710
"996",-1083,2778
"997",-1025,2662
"998",-1071,2714
"999",-1071,2670
"1000",-1247,3198
